Título Público do Projeto;Descrição;Status do Projeto;Empresa Contratante;Porte da Empresa;UF da Empresa;Projetos Contratados;Segmento CEIS;Data de Inicio;Unidade Embrapii;TRL - Inicial;TRL - Final;Área de Aplicação - Nível 1;Área de Aplicação - Nível 2;Tecnológia Habilitadora - Nível 1;Tecnológia Habilitadora - Nível 2
Desenvolvimento de Placa Dedicada FPGA para Plataforma de Computação Heterogênea (PCH);Desenvolvimento de uma placa dedicada baseada em FPGA para ampliação do escopo da Plataforma de Computação Heterogênea (PCH), por meio da integração de interfaces de comunicação de alta velocidade e da incorporação de capacidades de processamento reconfigurável, permitindo comunicação eficiente entre diferentes domínios de processamento e execução de funções especializadas em hardware programável.;Em andamento;IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAMENTOS MEDICOS - EIRELI;Microempresa;SP;6;Indústria;01/06/2026;ELDORADO;3;6;Outras indústrias de transformação;Outros bens manufaturados;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
AGUARDANDO AUTORIZAÇÃO CLIENTE - Docking Station Multifuncional,;AGUARDANDO AUTORIZAÇÃO CLIENTE - Projeto de módulos de computador para uso educacional e de equipamento acessório de uma docking station multifuncional;Concluído;MGB SERVICOS E COMPUTADORES S/A;Média;BA;1;Não é CEIS;18/03/2015;CERTI;6;6;Outras indústrias de transformação;Bens de consumo duráveis e semiduráveis;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
TEACH IN TOUCH, uma plataforma automatizada para melhoria pedagógica e educacional;A estrutura da educação tem passado por diversas mudanças no Brasil e no mundo. Conforme a sociedade evolui, é natural que os métodos e costumes também mudem. Nesse contexto, a necessidade de adaptar-se às novas tecnologias é inevitável e foi pensando nisso que a Faculdade do Vale do Jaguaribe (FVJ) aceitou o desafio de adicionar em suas salas de aula um equipamento eletrônico para auxílio do professor em suas atividades. Hoje isso foi possível graças ao desenvolvimento de um aplicativo chamado de TEACH IN TOUCH (TIT). Desta forma, hoje, o professor consegue ultrapassar a burocracia do papel e padronizou o diário acadêmico, evitando a entrega de relatórios no final de cada unidade. Devido a um levantamento de satisfação da metodologia atual do TIT, surge a necessidade de acrescentar a funcionalidade de automação na frequência dos alunos.;Concluído;UNIAO DE EDUCACAO E CULTURA VALE DO JAGUARIBE LTDA;Grande;CE;1;Não é CEIS;02/10/2017;IF-CE;3;3;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Integração de Sistemas;Plataformas de interoperabilidade e integração de dados heterogêneos
TEACH IN TOUCH, uma plataforma automatizada para melhoria pedagógica e educacional;A estrutura da educação tem passado por diversas mudanças no Brasil e no mundo. Conforme a sociedade evolui, é natural que os métodos e costumes também mudem. Nesse contexto, a necessidade de adaptar-se às novas tecnologias é inevitável e foi pensando nisso que a Faculdade do Vale do Jaguaribe (FVJ) aceitou o desafio de adicionar em suas salas de aula um equipamento eletrônico para auxílio do professor em suas atividades. Hoje isso foi possível graças ao desenvolvimento de um aplicativo chamado de TEACH IN TOUCH (TIT). Desta forma, hoje, o professor consegue ultrapassar a burocracia do papel e padronizou o diário acadêmico, evitando a entrega de relatórios no final de cada unidade. Devido a um levantamento de satisfação da metodologia atual do TIT, surge a necessidade de acrescentar a funcionalidade de automação na frequência dos alunos.;Concluído;ANTELO - CENTRO DE ENSINO SUPERIOR LTDA - EPP;Pequena;CE;1;Não é CEIS;02/10/2017;IF-CE;3;3;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Integração de Sistemas;Plataformas de interoperabilidade e integração de dados heterogêneos
Solução de comunicação de dados para agricultura mecanizada;Solução integrada de comunicação de dados sem fio para o segmento da agricultura automatizada e módulo para garantia da qualidade (QA) dos dados coletados pelos computadores de bordo;Concluído;AUTEQ TELEMATICA LTDA.;Grande;SP;1;Não é CEIS;24/03/2015;CERTI;6;6;Produção agropecuária;Automação e mecanização agrícola;Conectividade e cloud;Redes Sem Fio e 5G/6G
ROTARA;"Desenvolvimento de palanques a partir de resíduos poliméricos e 
cinzas da agricultura, visando melhorias da circularidade e 
sustentabilidade regionais.";Em andamento;TRANSOBRAS TRANSPORTES, LOCACAO E RECICLAVEIS LTDA;Microempresa;MT;1;Não é CEIS;01/12/2025;Polímeros;3;5;Outras indústrias de transformação;Outros bens manufaturados;Manufatura e materiais avançados;Materiais Compósitos
ROTARA;"Desenvolvimento de palanques a partir de resíduos poliméricos e 
cinzas da agricultura, visando melhorias da circularidade e 
sustentabilidade regionais.";Em andamento;CANAA AMBIENTAL LTDA;Média;MT;1;Não é CEIS;01/12/2025;Polímeros;3;5;Outras indústrias de transformação;Outros bens manufaturados;Manufatura e materiais avançados;Materiais Compósitos
ExtendedTouch;Solução integrada de hardware e software para permitir extensão de tela de toque para dispositivos vestíveis.;Concluído;ARIMA COMUNICACOES BRASIL LTDA;Grande;SP;1;Não é CEIS;01/04/2015;CEEI;5;5;Outras indústrias de transformação;Bens de consumo duráveis e semiduráveis;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Tecnologia para a produção de cogumelos amazônicos a partir de resíduos da cadeia Natura - SAF;Tecnologia para a produção de cogumelos amazônicos a partir de resíduos da cadeia Natura - SAF;Concluído;INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA;Grande;PA;1;Não é CEIS;13/02/2025;SENAI ISI BIOMASSA;4;6;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Industrial (branca)
Folding;Software embarcado para computação colaborativa.;Concluído;FIH DO BRASIL INDUSTRIA E COMERCIO DE ELETRONICOS LTDA;Grande;SP;1;Não é CEIS;01/04/2015;CEEI;6;6;Aplicações para serviços e comércio;Plataformas tecnológicas e serviços digitais transversais;Conectividade e cloud;Computação em Nuvem (Cloud Computing)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;ARAUCO FOREST BRASIL S.A.;Grande;PR;1;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;PALMYRA DO BRASIL INDUSTRIA E COMERCIO DE SILICIO METALICO E RECURSOS NATURAIS LTDA.;Grande;MG;2;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;GERDAU ACOS LONGOS S.A.;Grande;RJ;8;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;ELDORADO BRASIL CELULOSE S/A;Grande;MS;8;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;AVB – AÇO VERDE DO BRASIL S/A;Grande;MA;2;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;NORFLOR EMPREENDIMENTOS AGRICOLAS S.A.;Grande;MG;1;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;CMPC CELULOSE RIOGRANDENSE LTDA;Grande;RS;21;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;SAINT-GOBAIN PAM BIOENERGIA LTDA.;Grande;MG;4;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;PLACAS DO BRASIL S.A.;Média;ES;4;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;CIA DE FERRO LIGAS DA BAHIA FERBASA;Grande;BA;3;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;BRACELL BAHIA FLORESTAL LTDA;Grande;BA;13;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;SUZANO PAPEL E CELULOSE S.A.;Grande;BA;22;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;VALLOUREC TUBOS DO BRASIL LTDA.;Grande;MG;4;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;METALSIDER LTDA;Pequena;MG;4;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;SINOBRAS FLORESTAL LTDA EM RECUPERACAO JUDICIAL;Grande;TO;6;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;PLANTAR EMPREENDIMENTOS E PRODUTOS FLORESTAIS LTDA;Grande;MG;1;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;YVY FLORESTAL CONSULTORIA E APOIO A PRODUÇÃO LTD;Microempresa;SP;1;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;VERACEL CELULOSE S.A.;Grande;BA;9;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;ANGLO AMERICAN;Grande;GO;2;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Projeto Corymbia UFV;Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.;Concluído;CELULOSE NIPO BRASILEIRA S A CENIBRA;Grande;MG;12;Não é CEIS;01/03/2021;UFV - Fibras Florestais;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
SI2;Sistema Inteligente de Instruções de manufatura.;Concluído;COMPALEAD ELETRONICA DO BRASIL INDUSTRIA E COMERCIO LTDA.;Grande;SP;14;Não é CEIS;01/04/2015;CEEI;6;6;Processos industriais;Gestão da produção e operações;Integração de Sistemas;Middleware industrial e plataformas de integração (ex, OPC UA, MQTT, APIs industriais)
KeeperTV;Solução baseada em RFID para ativação remota e monitoramento de ciclo de vida e de transportes de dispositivos.;Concluído;ENVISION INDUSTRIA DE PRODUTOS ELETRONICOS LTDA;Grande;SP;5;Não é CEIS;01/04/2015;CEEI;6;6;Processos industriais;Logística e cadeias de suprimento;Instrumentação e Sistemas Embarcados;Interfaces de Comunicação e RF
VC Pigmento;Desenvolvimento da pigmentação de blocos vitrocerâmicos para aplicação em odontologia.;Concluído;ANGELUS INDUSTRIA DE PRODUTOS ODONTOLOGICOS S/A;Grande;PR;3;Indústria;09/03/2020;IPT-Materiais;4;4;Complexo industrial da saúde;Dispositivos médicos e biomateriais;Manufatura e materiais avançados;Biomateriais e Materiais Renováveis
SmartFasteners;Desenvolver a aplicação de sensores estruturais aeronáuticas.;Concluído;EMBRAER S.A.;Grande;SP;44;Não é CEIS;23/04/2015;CIMATEC;4;4;Veículos e sistemas autopropelidos;Aeronáutica;Instrumentação e Sistemas Embarcados;Instrumentação de Medição e Teste
